#yyyy, mm, dd, LEAFC_14, DEADSTEMC_14, LIVESTEMC_14, DEADCROOTC_14, LIVECROOTC_14, FROOTC_14, TLAI_14, HTOP_14
1919,1,1,0,0,0,0,0,0,0,0.25
1920,1,1,0,0,0,0,0,0,0,0.25
1921,1,1,0,0,0,0,0,0,0,0.25
1922,1,1,0,0,0,0,0,0,0,0.25
1923,1,1,0,0,0,0,0,0,0,0.25
1924,1,1,0,0,0,0,0,0,0,0.25
1925,1,1,0,0,0,0,0,0,0,0.25
1926,1,1,0,0,0,0,0,0,0,0.25
1927,1,1,0,0,0,0,0,0,0,0.25
1928,1,1,0,0,0,0,0,0,0,0.25
1929,1,1,0,0,0,0,0,0,0,0.25
1930,1,1,0,0,0,0,0,0,0,0.25
1931,1,1,0,0,0,0,0,0,0,0.25
1932,1,1,0,0,0,0,0,0,0,0.25
1933,1,1,0,0,0,0,0,0,0,0.25
1934,1,1,0,0,0,0,0,0,0,0.25
1935,1,1,0,0,0,0,0,0,0,0.25
1936,1,1,0,0,0,0,0,0,0,0.25
1937,1,1,0,0,0,0,0,0,0,0.25
1938,1,1,0,0,0,0,0,0,0,0.25
1939,1,1,0,0,0,0,0,0,0,0.25
1940,1,1,0,0,0,0,0,0,0,0.25
1941,1,1,0,0,0,0,0,0,0,0.25
1942,1,1,0,0,0,0,0,0,0,0.25
1943,1,1,0,0,0,0,0,0,0,0.25
1944,1,1,0,0,0,0,0,0,0,0.25
1945,1,1,0,0,0,0,0,0,0,0.25
1946,1,1,0,0,0,0,0,0,0,0.25
1947,1,1,0,0,0,0,0,0,0,0.25
1948,1,1,0,0,0,0,0,0,0,0.25
1949,1,1,0,0,0,0,0,0,0,0.25
1950,1,1,0,0,0,0,0,0,0,0.25
1951,1,1,0,0,0,0,0,0,0,0.25
1952,1,1,0,0,0,0,0,0,0,0.25
1953,1,1,0,0,0,0,0,0,0,0.25
1954,1,1,0,0,0,0,0,0,0,0.25
1955,1,1,0,0,0,0,0,0,0,0.25
1956,1,1,0,0,0,0,0,0,0,0.25
1957,1,1,0,0,0,0,0,0,0,0.25
1958,1,1,0,0,0,0,0,0,0,0.25
1959,1,1,0,0,0,0,0,0,0,0.25
1960,1,1,0,0,0,0,0,0,0,0.25
1961,1,1,0,0,0,0,0,0,0,0.25
1962,1,1,0,0,0,0,0,0,0,0.25
1963,1,1,0,0,0,0,0,0,0,0.25
1964,1,1,0,0,0,0,0,0,0,0.25
1965,1,1,0,0,0,0,0,0,0,0.25
1966,1,1,0,0,0,0,0,0,0,0.25
1967,1,1,0,0,0,0,0,0,0,0.25
1968,1,1,0,0,0,0,0,0,0,0.25
1969,1,1,0,0,0,0,0,0,0,0.25
1970,1,1,0,0,0,0,0,0,0,0.25
1971,1,1,0,0,0,0,0,0,0,0.25
1972,1,1,0,0,0,0,0,0,0,0.25
1973,1,1,0,0,0,0,0,0,0,0.25
1974,1,1,0,0,0,0,0,0,0,0.25
1975,1,1,0,0,0,0,0,0,0,0.25
1976,1,1,0,0,0,0,0,0,0,0.25
1977,1,1,0,0,0,0,0,0,0,0.25
1978,1,1,0,0,0,0,0,0,0,0.25
1979,1,1,0,0,0,0,0,0,0,0.25
1980,1,1,0,0,0,0,0,0,0,0.25
1981,1,1,0,0,0,0,0,0,0,0.25
1982,1,1,0,0,0,0,0,0,0,0.25
1983,1,1,0,0,0,0,0,0,0,0.25
1984,1,1,0,0,0,0,0,0,0,0.25
1985,1,1,0,0,0,0,0,0,0,0.25
1986,1,1,0,0,0,0,0,0,0,0.25
1987,1,1,0,0,0,0,0,0,0,0.25
1988,1,1,0,0,0,0,0,0,0,0.25
1989,1,1,0,0,0,0,0,0,0,0.25
1990,1,1,0,0,0,0,0,0,0,0.25
1991,1,1,0,0,0,0,0,0,0,0.25
1992,1,1,0,0,0,0,0,0,0,0.25
1993,1,1,0,0,0,0,0,0,0,0.25
1994,1,1,0,0,0,0,0,0,0,0.25
1995,1,1,0,0,0,0,0,0,0,0.25
1996,1,1,0,0,0,0,0,0,0,0.25
1997,1,1,0,0,0,0,0,0,0,0.25
1998,1,1,0,0,0,0,0,0,0,0.25
1999,1,1,0,0,0,0,0,0,0,0.25
2000,1,1,0,0,0,0,0,0,0,0.25
2001,1,1,0,0,0,0,0,0,0,0.25
2002,1,1,0,0,0,0,0,0,0,0.25
2003,1,1,0,0,0,0,0,0,0,0.25
2004,1,1,0,0,0,0,0,0,0,0.25
2005,1,1,0,0,0,0,0,0,0,0.25
2006,1,1,0,0,0,0,0,0,0,0.25
2007,1,1,0,0,0,0,0,0,0,0.25
2008,1,1,0,0,0,0,0,0,0,0.25
2009,1,1,0,0,0,0,0,0,0,0.25
2010,1,1,0,0,0,0,0,0,0,0.25
2011,1,1,0,0,0,0,0,0,0,0.25
2012,1,1,0,0,0,0,0,0,0,0.25
2013,1,1,0,0,0,0,0,0,0,0.25
2014,1,1,0,0,0,0,0,0,0,0.25
2015,1,1,0,0,0,0,0,0,0,0.25
2016,1,1,0,0,0,0,0,0,0,0.25
2017,1,1,0,0,0,0,0,0,0,0.25
2018,1,1,0,0,0,0,0,0,0,0.25
2019,1,1,0,0,0,0,0,0,0,0.25
2020,1,1,0,0,0,0,0,0,0,0.25
2021,1,1,0,0,0,0,0,0,0,0.25
