#yyyy, mm, dd, LEAFC_1, DEADSTEMC_1, LIVESTEMC_1, DEADCROOTC_1, LIVECROOTC_1, FROOTC_1, TLAI_1, HTOP_1
1919,1,1,14.0921,481.102,1.35133,144.869,0.3927,21.1457,0.0812827,12.7469
1920,1,1,26.6181,512.462,3.0396,154.093,0.883637,39.908,0.154714,13.0153
1921,1,1,58.7935,601.186,7.15197,180.306,2.08563,88.5501,0.349245,13.7214
1922,1,1,114.459,773.542,13.8354,231.836,4.05514,174.097,0.704404,14.9199
1923,1,1,174.982,1005.9,20.2568,301.273,5.95789,268.183,1.11879,16.2869
1924,1,1,229.763,1274.43,25.3009,381.601,7.45906,354.154,1.52045,17.6292
1925,1,1,257.76,1514.45,26.9807,456.609,8.0322,405.497,1.7373,18.6744
1926,1,1,289.767,1783.28,29.3122,537.999,8.68949,454.55,1.99484,19.7203
1927,1,1,310.181,2046.51,30.2238,617.83,8.94834,486.128,2.16363,20.6494
1928,1,1,277.614,2159.75,26.3778,671.133,8.15832,470.71,1.89736,21.0258
1929,1,1,245.736,2218.16,23.2922,710.05,7.34736,440.976,1.64302,21.2122
1930,1,1,272.048,2433.92,26.3445,777.837,8.02136,465.261,1.85106,21.8781
1931,1,1,298.678,2680.19,28.6366,850.928,8.53799,490.077,2.06774,22.5932
1932,1,1,304.429,2883.72,28.42,914.696,8.45118,493.525,2.11543,23.1519
1933,1,1,304.565,3065.68,28.0212,974.312,8.34879,492.992,2.11651,23.6293
1934,1,1,299.265,3211.23,27.5557,1028.73,8.27861,491.109,2.07252,23.9973
1935,1,1,303.591,3388.95,27.8638,1086.94,8.32524,493.803,2.10857,24.4321
1936,1,1,304.131,3565.32,27.4299,1142.5,8.15211,489.199,2.11296,24.8494
1937,1,1,287.806,3680.26,25.3017,1183.6,7.53654,464.443,1.97798,25.1134
1938,1,1,293.846,3850.26,26.1837,1235.69,7.73863,467.221,2.02779,25.4941
1939,1,1,300.174,4030.09,26.7353,1289.23,7.86369,471.195,2.07992,25.8853
1940,1,1,275.238,4079.08,24.006,1319.56,7.19819,445.567,1.8769,25.99
1941,1,1,247.848,4073.02,21.5679,1337.33,6.54199,412.959,1.65925,25.977
1942,1,1,269.132,4232.54,24.6522,1386.46,7.33371,435.421,1.82752,26.3114
1943,1,1,292.207,4431.18,27.0207,1442.85,7.94236,460.303,2.01423,26.7169
1944,1,1,298.974,4600.6,27.0696,1491.89,7.92989,465.163,2.07002,27.0533
1945,1,1,302.521,4760.71,27.0219,1538.94,7.90876,467.555,2.09947,27.3637
1946,1,1,304.063,4904.24,27.049,1583.76,7.93168,470.066,2.11244,27.6358
1947,1,1,309.368,5066.93,27.449,1631.41,8.03231,475.642,2.15689,27.9381
1948,1,1,308.637,5221.64,26.9325,1675.7,7.86701,472.076,2.15066,28.2199
1949,1,1,293.041,5325.9,24.8228,1706.98,7.25608,448.279,2.02093,28.4064
1950,1,1,296.327,5469.99,25.5513,1747.62,7.45125,450.939,2.0482,28.6602
1951,1,1,300.067,5620.84,25.9844,1789.48,7.56523,454.475,2.07904,28.9214
1952,1,1,282.662,5696.63,23.7322,1815.12,6.94421,431.344,1.93635,29.051
1953,1,1,261.944,5732.59,21.6897,1831.07,6.36841,402.961,1.76989,29.1118
1954,1,1,279.636,5875.84,24.6077,1871.61,7.18679,426.654,1.91189,29.3522
1955,1,1,297.588,6042.53,26.6786,1917.26,7.76511,450.554,2.05857,29.6272
1956,1,1,300.572,6182.79,26.4827,1955.56,7.69964,453.298,2.08326,29.8548
1957,1,1,301.921,6317.32,26.3268,1992.4,7.65116,454.268,2.09446,30.0698
1958,1,1,302.951,6444.59,26.3295,2028.15,7.65566,455.718,2.10312,30.2703
1959,1,1,307.078,6581.38,26.7394,2066.02,7.77225,461.358,2.13763,30.483
1960,1,1,305.186,6707.03,26.2234,2100.39,7.6199,457.997,2.12173,30.6759
1961,1,1,289.256,6786.79,24.132,2122.41,7.01615,434.414,1.98982,30.797
1962,1,1,291.828,6900.74,24.8891,2153.45,7.23167,437.739,2.01107,30.9683
1963,1,1,295.23,7020.72,25.3796,2185.93,7.37085,442.293,2.03896,31.1468
1964,1,1,279.382,7077.79,23.2663,2203.88,6.77612,420.511,1.90964,31.2311
1965,1,1,260.756,7099.27,21.4194,2213.24,6.25223,394.594,1.76047,31.2626
1966,1,1,278.323,7215.85,24.3717,2245.83,7.09538,419.717,1.90125,31.4327
1967,1,1,296.069,7354.63,26.469,2283.57,7.692,444.805,2.04599,31.633
1968,1,1,298.897,7467.09,26.2853,2314.07,7.63514,448.321,2.06935,31.7934
1969,1,1,300.391,7574.42,26.1718,2343.4,7.60207,450.247,2.08172,31.945
1970,1,1,301.448,7673.26,26.1922,2371.58,7.61374,452.296,2.09061,32.0834
1971,1,1,306.334,7784.73,26.7117,2402.65,7.76324,459.458,2.13141,32.238
1972,1,1,305.354,7887.12,26.2997,2430.72,7.6416,457.719,2.12312,32.3788
1973,1,1,289.895,7942.68,24.2434,2446.37,7.04846,435.031,1.99506,32.4546
1974,1,1,293.859,8036.6,25.1646,2472.03,7.31171,440.551,2.02783,32.582
1975,1,1,298.892,8139.25,25.823,2499.84,7.49968,447.622,2.06929,32.7202
1976,1,1,283.475,8174.37,23.7025,2512.42,6.90351,426.601,1.94288,32.7672
1977,1,1,264.772,8171.3,21.8126,2516.03,6.36788,400.701,1.79234,32.763
1978,1,1,283.741,8271.66,24.9368,2544.43,7.26045,427.917,1.94528,32.8966
1979,1,1,303.103,8397.79,27.2001,2578.75,7.90471,455.385,2.10442,33.063
1980,1,1,306.875,8497.32,27.0793,2605.78,7.86594,460.296,2.13588,33.1931
1981,1,1,309.394,8592.73,27.0504,2631.98,7.85744,463.749,2.15699,33.3169
1982,1,1,311.461,8679.7,27.1577,2657.23,7.89465,467.342,2.1745,33.4289
1983,1,1,317.241,8780.85,27.744,2685.69,8.06349,475.841,2.22339,33.5582
1984,1,1,316.683,8873.08,27.3386,2711.12,7.9437,474.726,2.21856,33.6754
1985,1,1,300.998,8916.49,25.2214,2723.71,7.3331,451.729,2.08679,33.7302
1986,1,1,305.282,9000.52,26.1755,2746.78,7.60566,457.71,2.12271,33.8358
1987,1,1,310.508,9093.81,26.8427,2772.09,7.79604,465.05,2.16637,33.9523
1988,1,1,294.583,9115.45,24.6466,2781.51,7.1787,443.353,2.03393,33.9792
1989,1,1,276.082,9098.66,22.808,2782.18,6.65872,417.86,1.88294,33.9583
1990,1,1,297.212,9194.27,26.2158,2809.54,7.63292,448.249,2.05596,34.0768
1991,1,1,318.027,9317.08,28.6077,2843.03,8.31387,477.817,2.23008,34.2279
1992,1,1,321.88,9410.92,28.4311,2868.57,8.2587,482.813,2.26283,34.3424
1993,1,1,324.158,9499.84,28.3358,2893.07,8.23088,485.889,2.28226,34.4503
1994,1,1,325.628,9578.41,28.3564,2916.26,8.24326,488.62,2.29497,34.545
1995,1,1,331.092,9672.03,28.9112,2942.78,8.4029,496.641,2.34201,34.6572
1996,1,1,330.483,9757.69,28.5085,2966.47,8.28365,495.427,2.33665,34.7592
1997,1,1,314.319,9792.77,26.3378,2976.95,7.65769,471.73,2.19854,34.8008
1998,1,1,318.906,9870.83,27.3492,2998.45,7.94669,478.141,2.23765,34.893
1999,1,1,324.552,9959.19,28.0697,3022.44,8.15236,486.084,2.28564,34.9968
2000,1,1,308.384,9972.74,25.8312,3030.01,7.52336,464.083,2.14882,35.0127
2001,1,1,289.71,9946.61,23.9808,3028.7,7.0006,438.42,1.99381,34.9821
2002,1,1,311.472,10037.5,27.4752,3054.92,7.99944,469.715,2.17515,35.0883
2003,1,1,332.771,10156.8,29.9115,3087.43,8.69273,499.947,2.35654,35.2268
2004,1,1,336.733,10246.4,29.7308,3111.83,8.63618,505.075,2.39085,35.3301
2005,1,1,339.522,10332.2,29.6932,3135.53,8.62506,508.897,2.41511,35.4284
2006,1,1,341.813,10408.2,29.8092,3158.2,8.66537,512.874,2.43526,35.5151
2007,1,1,348.209,10500.8,30.4582,3184.56,8.85229,522.278,2.49148,35.6201
2008,1,1,348.117,10585.7,30.0808,3208.09,8.74026,521.816,2.49054,35.7158
2009,1,1,331.606,10617.5,27.8362,3217.82,8.09305,497.622,2.34636,35.7516
2010,1,1,336.558,10694.4,28.8914,3239.06,8.39461,504.563,2.38953,35.8376
2011,1,1,342.579,10782.2,29.6456,3262.93,8.60989,513.045,2.44185,35.9355
2012,1,1,325.919,10791.6,27.3288,3269.71,7.9591,490.404,2.2977,35.9459
2013,1,1,307.152,10760.6,25.4871,3267.6,7.43967,464.717,2.13849,35.9114
2014,1,1,330.181,10852.6,29.1498,3294.26,8.48657,497.847,2.33479,36.0134
2015,1,1,352.374,10973.9,31.6667,3327.34,9.20261,529.342,2.52834,36.1471
2016,1,1,355.836,11062.7,31.3758,3351.52,9.11385,533.685,2.55902,36.2444
2017,1,1,357.433,11145.3,31.1722,3374.33,9.05444,535.704,2.57321,36.3344
2018,1,1,358.53,11216.7,31.1566,3395.78,9.05673,537.909,2.58314,36.4118
2019,1,1,363.283,11302.9,31.6254,3420.36,9.19129,544.853,2.62576,36.5048
2020,1,1,361.237,11379.4,31.0447,3441.51,9.02011,541.454,2.60729,36.5871
2021,1,1,342.56,11400.4,28.5904,3448.21,8.31205,514.026,2.44168,36.6095
