#i, obs_GPP3d_cycle, obs_ER3d_cycle, obs_LE3d_cycle, obs_H3d_cycle, clm_GPP3d_cycle, clm_ER3d_cycle, clm_LE3d_cycle, clm_H3d_cycle, obs_G3d_cycle, obs_Rn3d_cycle, clm_Rn3d_cycle, clm_G3d_cycle, clm_FCTR3d_cycle, clm_FCEV3d_cycle, clm_FGEV3d_cycle
1, 2.50538, 2.36326, 31.2118, 6.6144, 2.68998, 3.35476, 25.0546, 26.3942, -3.55298, 48.303, 39.0779, -11.4726, 10.7035, 8.1034, 6.24768
2, 2.40295, 2.3527, 33.9088, 9.88297, 2.68482, 3.41599, 23.2568, 29.6098, -4.7204, 53.3793, 44.9665, -7.8728, 10.8144, 5.87611, 6.5663
3, 2.32176, 2.24208, 27.7553, 16.8208, 2.51595, 3.28792, 23.7649, 36.915, -7.68216, 53.7347, 44.1741, -14.763, 9.04168, 8.22847, 6.49478
4, 2.61082, 2.00638, 31.4331, 19.0097, 2.62634, 3.19642, 26.7287, 40.6902, -8.39725, 63.0551, 52.2947, -14.7627, 11.0865, 7.22905, 8.41311
5, 2.69852, 1.88473, 30.9799, 19.9798, 2.77506, 3.00656, 25.8756, 49.9659, -8.54984, 68.0718, 54.5379, -20.1954, 12.1826, 2.19233, 11.5006
6, 2.603, 1.98611, 32.4328, 16.9098, 2.90413, 3.07084, 27.8352, 42.8999, -6.05402, 71.2914, 58.5541, -12.7903, 13.7087, 4.86369, 9.26289
7, 2.77856, 1.84672, 34.4807, 26.2885, 3.10282, 3.03779, 29.6229, 54.6984, -6.70506, 83.0235, 68.3217, -15.6066, 15.8408, 4.14511, 9.63702
8, 2.39214, 1.8474, 27.8086, 23.3605, 2.83844, 2.97829, 25.2742, 50.4632, -6.4948, 70.7664, 58.4142, -16.9817, 13.3591, 3.31526, 8.5998
9, 2.63576, 2.09043, 28.2157, 13.4973, 2.92181, 3.06739, 23.6966, 34.5936, -5.77305, 58.8228, 48.2738, -11.442, 13.4522, 0.611376, 9.63291
10, 2.61831, 2.282, 26.7833, 11.4548, 2.85588, 3.18329, 26.3215, 26.3419, -3.40943, 56.725, 47.3119, -6.62833, 11.8679, 4.71285, 9.74079
11, 2.53741, 2.6764, 29.0141, 10.4565, 3.20704, 3.44489, 29.5789, 25.8901, -1.41815, 67.8029, 58.8047, 1.73088, 12.7427, 9.49456, 7.34172
12, 2.61473, 2.38923, 31.8807, 11.0834, 3.2431, 3.35722, 26.836, 30.8485, -5.16801, 62.1579, 52.3279, -4.93855, 14.4678, 5.09153, 7.27674
13, 2.84074, 2.37167, 32.6465, 19.8043, 3.23309, 3.26893, 24.2274, 44.8029, -6.07163, 71.0321, 59.5135, -8.40107, 14.5483, 2.27082, 7.40831
14, 2.76282, 2.15467, 32.7328, 17.1784, 3.25632, 3.22383, 24.0861, 38.0803, -6.01006, 64.4212, 52.5267, -9.1646, 14.977, 1.46888, 7.64025
15, 2.76045, 2.27296, 33.0209, 14.2264, 3.20332, 3.20958, 24.925, 38.4549, -4.74653, 64.3135, 55.7225, -7.74966, 14.3822, 2.75776, 7.78505
16, 2.81407, 2.30188, 32.0789, 19.1237, 3.13104, 3.26079, 23.8084, 45.2581, -2.05132, 76.0036, 63.8684, -5.56335, 14.5646, 2.23296, 7.01081
17, 2.46206, 2.16059, 36.7243, 14.0771, 3.06196, 3.19927, 28.4441, 41.7903, -3.71559, 69.2582, 57.4731, -11.2034, 14.4203, 6.8164, 7.20742
18, 2.81282, 2.06013, 32.1785, 26.5723, 3.46742, 3.2491, 27.6073, 45.4422, -4.53603, 85.512, 70.5579, -4.06153, 15.0967, 5.51894, 6.99167
19, 2.84277, 2.24238, 33.1402, 20.2004, 3.63124, 3.28248, 31.3799, 38.9343, -6.13981, 85.0554, 65.9327, -4.7045, 17.888, 6.34326, 7.14863
20, 2.71556, 2.17729, 35.3588, 20.279, 3.36422, 3.19193, 29.5935, 43.4274, -5.27337, 75.7582, 59.4076, -12.4552, 15.3248, 4.31269, 9.95602
21, 2.64413, 2.30395, 33.9328, 23.3718, 3.29942, 3.28903, 29.2724, 40.1182, -1.90744, 79.1818, 63.896, -5.92313, 14.4863, 6.85115, 7.93491
22, 2.62411, 2.21055, 30.6896, 14.5, 3.37823, 3.27351, 27.0898, 41.2235, -3.64916, 70.882, 59.5383, -8.57987, 14.2154, 4.97693, 7.89743
23, 2.61042, 2.27014, 30.0885, 16.0658, 3.27914, 3.28728, 34.2958, 32.1883, -4.65026, 69.4333, 57.0888, -9.94193, 15.3375, 6.98014, 11.9782
