#i, obs_GPP3d_cycle, obs_ER3d_cycle, obs_LE3d_cycle, obs_H3d_cycle, clm_GPP3d_cycle, clm_ER3d_cycle, clm_LE3d_cycle, clm_H3d_cycle, obs_G3d_cycle, obs_Rn3d_cycle, clm_Rn3d_cycle, clm_G3d_cycle, clm_FCTR3d_cycle, clm_FCEV3d_cycle, clm_FGEV3d_cycle
1, 2.50538, 2.36326, 31.2118, 6.6144, 2.07785, 2.43922, 34.1854, 19.2055, -3.55298, 48.303, 40.9488, -11.697, 17.7545, 10.602, 5.82885
2, 2.40295, 2.3527, 33.9088, 9.88297, 2.08791, 2.50063, 30.4443, 23.384, -4.7204, 53.3793, 47.3129, -6.59522, 19.0896, 5.75853, 5.59612
3, 2.32176, 2.24208, 27.7553, 16.8208, 1.99266, 2.46978, 31.7074, 30.0971, -7.68216, 53.7347, 46.3945, -14.2506, 16.6215, 9.31767, 5.76824
4, 2.61082, 2.00638, 31.4331, 19.0097, 1.71802, 2.28053, 35.4443, 33.244, -8.39725, 63.0551, 54.0399, -14.4104, 17.4224, 10.5483, 7.47361
5, 2.69852, 1.88473, 30.9799, 19.9798, 1.66922, 2.03025, 32.77, 43.4902, -8.54984, 68.0718, 56.43, -18.979, 19.9282, 4.55283, 8.28901
6, 2.603, 1.98611, 32.4328, 16.9098, 1.8549, 2.09431, 35.1939, 36.529, -6.05402, 71.2914, 60.153, -12.0015, 21.2779, 6.97131, 6.94474
7, 2.77856, 1.84672, 34.4807, 26.2885, 1.9685, 2.04663, 37.655, 49.4603, -6.70506, 83.0235, 70.908, -15.8626, 23.8002, 6.33422, 7.52055
8, 2.39214, 1.8474, 27.8086, 23.3605, 1.87389, 2.00486, 31.4508, 46.6051, -6.4948, 70.7664, 60.6968, -17.0521, 21.4186, 3.38542, 6.64681
9, 2.63576, 2.09043, 28.2157, 13.4973, 1.98705, 2.07563, 27.9723, 29.8843, -5.77305, 58.8228, 50.2224, -8.59828, 20.8146, 1.36109, 5.79662
10, 2.61831, 2.282, 26.7833, 11.4548, 2.11917, 2.23199, 28.3286, 22.3562, -3.40943, 56.725, 48.6818, -2.87866, 18.8853, 4.49781, 4.94551
11, 2.53741, 2.6764, 29.0141, 10.4565, 2.49864, 2.55182, 34.5625, 21.6284, -1.41815, 67.8029, 60.9248, 3.38042, 19.6687, 10.2283, 4.66544
12, 2.61473, 2.38923, 31.8807, 11.0834, 2.39555, 2.46076, 35.6149, 24.0047, -5.16801, 62.1579, 53.8015, -5.48925, 22.0896, 7.19209, 6.33321
13, 2.84074, 2.37167, 32.6465, 19.8043, 2.25796, 2.36687, 33.0068, 37.1747, -6.07163, 71.0321, 61.8365, -7.58644, 21.547, 5.58281, 5.87696
14, 2.76282, 2.15467, 32.7328, 17.1784, 2.14754, 2.3101, 30.532, 33.1214, -6.01006, 64.4212, 54.0797, -9.26169, 21.3032, 3.42153, 5.80733
15, 2.76045, 2.27296, 33.0209, 14.2264, 2.20606, 2.2859, 30.4438, 35.357, -4.74653, 64.3135, 57.7535, -8.03751, 21.7658, 2.72576, 5.95233
16, 2.81407, 2.30188, 32.0789, 19.1237, 2.245, 2.38148, 32.1571, 39.5037, -2.05132, 76.0036, 66.6411, -5.28014, 22.6192, 3.75538, 5.78254
17, 2.46206, 2.16059, 36.7243, 14.0771, 1.97329, 2.25339, 36.3227, 35.9367, -3.71559, 69.2582, 59.5875, -11.5771, 21.885, 7.85689, 6.58079
18, 2.81282, 2.06013, 32.1785, 26.5723, 2.30868, 2.27428, 35.0403, 41.3916, -4.53603, 85.512, 73.453, -4.09551, 22.3209, 6.3209, 6.39848
19, 2.84277, 2.24238, 33.1402, 20.2004, 2.38721, 2.30088, 40.632, 32.2795, -6.13981, 85.0554, 67.9059, -5.30743, 24.6478, 9.6229, 6.36136
20, 2.71556, 2.17729, 35.3588, 20.279, 2.12672, 2.22246, 33.9617, 38.9599, -5.27337, 75.7582, 61.3357, -10.6175, 21.572, 5.68325, 6.70644
21, 2.64413, 2.30395, 33.9328, 23.3718, 2.27497, 2.37549, 33.0645, 38.4533, -1.90744, 79.1818, 65.8655, -6.09706, 20.7843, 5.80635, 6.47387
22, 2.62411, 2.21055, 30.6896, 14.5, 2.25489, 2.33679, 32.5438, 36.801, -3.64916, 70.882, 61.1599, -8.04941, 19.8619, 6.31964, 6.36227
23, 2.61042, 2.27014, 30.0885, 16.0658, 2.15648, 2.29757, 38, 27.7667, -4.65026, 69.4333, 59.055, -6.9212, 22.4318, 8.60969, 6.95857
24, 2.69776, 2.31969, 29.8315, 18.6808, 2.15518, 2.3777, 34.7433, 29.1999, -2.48661, 70.7029, 59.3647, -4.62163, 19.514, 9.10537, 6.12391
25, 3.06073, 2.19323, 36.0346, 20.9495, 2.43748, 2.34039, 40.0728, 36.4658, -3.97624, 84.7224, 71.5054, -5.47432, 25.2328, 7.57766, 7.26227
26, 3.21103, 2.41845, 34.7467, 13.6136, 2.62931, 2.43327, 37.0929, 28.6428, -2.37998, 74.1709, 64.4419, -1.79062, 24.9441, 5.90986, 6.23894
