#year_daily, month_daily, day_daily, Hdaily, LEdaily, Gdaily, NETRADdaily, SWCdaily, GPPdaily, RECOdaily,#yyyy, mm, dd, FSDS, RAIN, SNOW, TBOT, PBOT, RH, WIND, FLDS, ZBOT, GPP, ER, AR, HR, NPP, NEP, NEE, TOTFIRE, TLAI, EFLX_LH_TOT, FSH, FSH_TO_COUPLER, Rnet, FCTR, FGEV, TotSWC, TWS, ZWT, QRUNOFF, QH2OSFC, QOVER, QDRAI, QDRAI_PERCH, QDRAI_XS, QFLOOD, SWC_4, Qstor, Rnet, LWdown, LWup, SWdown, SWup, VPD, ET0_FAO56_mmday, ET0_FAO56_Wm2, FCEV
2009, 1, 1, -9999, -9999, -9999, -9999, -9999, -9999, -9999 ,2009,1,1,135.865,0,0,279.525,99441.4,33.4378,2.89064,262.597,30,3.37747e-05,3.30388e-05,2.12888e-05,1.17501e-05,1.2486e-05,7.35895e-07,-7.35895e-07,0,4.86896,26.2958,49.1778,49.1778,25.6983,15.1536,10.6984,0.193875,1667.56,0.549951,2.17998e-05,0,0,2.17998e-05,0,0,0,0.294766,-40.5172,25.6983,262.597,348.786,135.865,23.9776,0.673764,0.785466,22.7276,0.443828
2009, 1, 2, 14.735, 27.6873, -2.94415, 74.9638, 20.8819, 4.38486e-05, 3.05999e-05,2009,1,2,125.372,2.93981e-06,0,285.493,99072.9,62.54,2.22393,341.388,30,4.19062e-05,3.83364e-05,2.72395e-05,1.10968e-05,1.46666e-05,3.56982e-06,-3.56982e-06,0,4.86827,22.6797,22.1453,22.1453,65.4374,16.7876,5.31674,0.193558,1664.84,0.554199,2.17722e-05,0,0,2.17722e-05,0,0,0,0.291766,11.2384,65.4374,341.388,379.561,125.372,21.7616,0.62828,0.859489,24.8695,0.57533
2009, 1, 3, 1.23282, 18.5902, 8.17921, 41.0814, 20.8723, 3.85058e-05, 4.83504e-05,2009,1,3,62.8183,0,0,291.504,98963.5,86.0646,2.10067,394.159,30,3.78856e-05,4.55464e-05,3.31077e-05,1.24387e-05,4.7779e-06,-7.66075e-06,7.66075e-06,0,4.86757,14.9674,3.22733,3.22733,39.1198,9.8814,0.348171,0.19328,1662.53,0.55954,2.17374e-05,0,0,2.17374e-05,0,0,0,0.28945,18.9442,39.1198,394.159,406.502,62.8183,11.3561,0.238811,0.384316,11.1202,4.73787
2009, 1, 4, 14.0613, 37.2627, 5.38317, 88.2013, 21.2519, 4.11954e-05, 4.27775e-05,2009,1,4,132.318,5.58565e-05,0,291.262,99074,81.4084,2.04664,378.401,30,4.50436e-05,4.78931e-05,3.40315e-05,1.38616e-05,1.10121e-05,-2.84953e-06,2.84953e-06,0,4.86686,36.7364,19.3827,19.3827,77.1002,15.9996,4.03661,0.193361,1663.35,0.563152,2.17139e-05,0,0,2.17139e-05,0,0,0,0.290837,20.0729,77.1002,378.401,410.485,132.318,23.1342,0.548355,1.08424,31.3726,16.7002
2009, 1, 5, 14.8727, 28.2352, 2.05656, 62.2333, 21.1858, 4.0039e-05, 3.89608e-05,2009,1,5,110.07,2.93981e-06,0,290.568,99119.8,84.2037,1.74635,367.055,30,4.36271e-05,4.63205e-05,3.25367e-05,1.37837e-05,1.10903e-05,-2.69341e-06,2.69341e-06,0,4.86614,21.0475,27.8702,27.8702,52.8613,12.4607,4.07307,0.193211,1661.88,0.562988,2.1715e-05,0,0,2.1715e-05,0,0,0,0.289834,5.77754,52.8613,367.055,404.43,110.07,19.834,0.423811,0.904702,26.1777,4.51371
2009, 1, 6, 0.516798, 26.1936, 5.8215, 58.5976, 21.0877, 4.20233e-05, 4.29058e-05,2009,1,6,100.139,0,0,292.24,98564.6,83.5269,3.32221,383.39,30,4.18832e-05,4.83564e-05,3.43659e-05,1.39905e-05,7.51734e-06,-6.47317e-06,6.47317e-06,0,4.86541,19.5904,11.7558,11.7558,51.2084,15.918,3.51771,0.192931,1659.46,0.566624,2.16913e-05,0,0,2.16913e-05,0,0,0,0.286647,15.8032,51.2084,383.39,414.58,100.139,17.7406,0.499872,0.621135,17.9726,0.154738
2009, 1, 7, 12.5387, 52.1025, 1.05027, 94.7308, 21.3883, 3.14904e-05, 3.60942e-05,2009,1,7,162.968,5.58565e-05,0,290.696,98118.8,64.9958,4.83101,357.831,30,4.28709e-05,4.86301e-05,3.41097e-05,1.45203e-05,8.76112e-06,-5.75921e-06,5.75921e-06,0,4.86467,54.4752,36.1797,36.1797,81.5793,21.2954,9.80159,0.192904,1659.31,0.571105,2.16621e-05,0,0,2.16621e-05,0,0,0,0.286351,-1.59036,81.5793,357.831,410.18,162.968,29.0387,0.839887,1.24382,35.9902,23.3782
2009, 1, 8, 0.651397, 36.8853, -14.5265, 59.6174, 21.2644, 3.576e-05, 3.07749e-05,2009,1,8,165.47,0,0,285.656,98578.1,45.8175,3.45933,289.924,30,4.52285e-05,3.90973e-05,2.64652e-05,1.26321e-05,1.87633e-05,6.13119e-06,-6.13119e-06,0,4.86393,35.7258,30.1327,30.1327,49.4063,24.469,11.2568,0.192736,1657.77,0.572055,2.16559e-05,0,0,2.16559e-05,0,0,0,0.285659,-17.4925,49.4063,289.924,376.318,165.47,29.6704,0.866184,0.946624,27.3907,2.7121e-12
2009, 1, 9, 16.9863, 42.6996, -14.6299, 63.4731, 21.0779, 4.24035e-05, 2.66229e-05,2009,1,9,170.78,0,0,284.682,99187.5,36.1066,1.89304,282.599,30,4.18982e-05,3.72707e-05,2.51819e-05,1.20888e-05,1.67163e-05,4.62755e-06,-4.62755e-06,0,4.86318,34.66,38.1242,38.1242,51.5654,23.415,11.245,0.192376,1654.67,0.576714,2.16256e-05,0,0,2.16256e-05,0,0,0,0.281364,-18.6644,51.5654,282.599,371.096,170.78,30.7175,0.893105,1.12477,32.5455,-3.45354e-13
2009, 1, 10, -5.17823, 29.4782, -6.91183, 40.8328, 20.9779, 4.01464e-05, 3.25352e-05,2009,1,10,96.7376,0,0,286.173,99308.9,47.7524,2.28809,331.752,30,3.63778e-05,3.80087e-05,2.61346e-05,1.18741e-05,1.02432e-05,-1.63091e-06,1.63091e-06,0,4.86242,24.5331,14.3755,14.3755,33.578,16.3513,8.18183,0.192028,1651.67,0.5942,2.15118e-05,0,0,2.15118e-05,0,0,0,0.277726,-8.26389,33.578,331.752,378.123,96.7376,16.7882,0.709899,0.672947,19.4718,3.45941e-13
