#yyyy, mm, dd, TOTECOSYSC, TOTECOSYSN, TOTSOMC, TOTSOMN, TOTVEGC, TOTVEGN, TLAI, GPP, CPOOL, NPP, TWS, TOTFIRE, DEADSTEMC, LIVESTEMC, LEAFC, DEADCROOTC, LIVECROOTC, FROOTC, WOODC, TOT_WOODPRODC, WOOD_HARVESTC, HTOP, TOTLITC, CWD_C
2006,1,1,21567.2,935.112,9437.97,862.631,7978.96,55.611,8.23895,7.50781e-05,0,3.10052e-05,2216.96,0,4768.58,60.4948,566.359,1430.58,18.1485,849.543,6277.81,3894.84,0,20.8822,365.147,3785.17
2007,1,1,21880.5,937,9436.3,862.804,8402.79,56.8549,8.24204,7.9314e-05,0,3.33154e-05,2181.62,0,5089.54,59.4275,566.498,1526.87,17.8283,849.751,6693.66,3694.79,0,21.3406,397.029,3644.34
2008,1,1,22226.6,938.951,9439.4,863.34,8848.58,58.1855,8.35814,7.9344e-05,0,3.27956e-05,2075.93,0,5417.75,59.9546,572.198,1625.33,17.9864,858.3,7121.03,3522.1,0,21.79,412.727,3525.92
2009,1,1,22453.5,938.582,9434.09,862.793,9244.55,59.1088,8.37083,7.64852e-05,0,3.14402e-05,1938.65,0,5731.81,59.4793,572.832,1719.55,17.8438,859.25,7528.68,3371.53,0,22.2033,388.51,3386.38
2010,1,1,22585.1,935.513,9408.47,860.072,9625.07,60.192,8.30451,7.56452e-05,0,3.14502e-05,1935.97,0,6029.3,58.6144,569.57,1808.79,17.5843,854.356,7914.29,3238.85,0,22.581,345.81,3205.75
2011,1,1,18861,927.936,9507.74,871.264,4335.88,25.7477,2.93258,5.59454e-05,0,2.5437e-05,2144,0,2680.03,26.883,249.654,804.012,8.06489,374.482,3518.99,6419.01,0.000113914,23.0108,877.785,4139.56
2012,1,1,18983.8,928.398,9555.52,874.872,5078.54,32.2207,4.03477,6.71521e-05,0,3.68041e-05,2112.45,0,2993.45,41.3824,326.007,898.038,12.4147,489.011,3945.29,5803.23,0,23.8724,438.196,3911.52
2013,1,1,19477.5,928.178,9508.11,869.591,5918.31,40.2971,5.57454,7.48787e-05,0,3.83775e-05,2168.39,0,3413.51,55.9731,422.428,1024.06,16.7919,633.643,4510.33,5297.09,0,24.9407,364.689,3686.42
2014,1,1,19957.2,929.298,9473.19,866.238,6621.47,46.1561,6.79121,7.60416e-05,0,3.56762e-05,2121.74,0,3832.66,62.7108,491.427,1149.8,18.8133,737.14,5063.98,4878.65,0,25.9239,364.978,3497.54
2015,1,1,20363.6,930.85,9451.79,864.302,7192.66,49.982,7.49689,7.60366e-05,0,3.39775e-05,2159.57,0,4215.79,63.5815,528.86,1264.74,19.0745,793.291,5563.18,4530.45,0,26.7614,377.058,3342.13
2016,1,1,20740.2,932.571,9440.46,863.345,7694.4,52.6563,7.87551,7.69901e-05,0,3.23814e-05,2218.23,0,4571.91,62.5687,548.207,1371.58,18.7706,822.311,6024.83,4238.53,0,27.4952,388.799,3216.57
2017,1,1,21108.1,934.23,9431.51,862.577,8176.39,54.9975,8.12932,7.91764e-05,0,3.45584e-05,2199.45,0,4916.75,61.8601,560.902,1475.03,18.558,841.353,6472.2,3991.82,0,28.17,393.328,3106.87
2018,1,1,21511.9,935.922,9426.15,862.153,8671.95,57.3813,8.40665,8.08056e-05,0,3.4182e-05,2189.59,0,5265.23,62.3812,574.545,1579.57,18.7144,861.817,6925.9,3781.43,0,28.8206,398.648,3015.12
2019,1,1,21891.9,937.686,9424.68,862.082,9121.17,59.1093,8.56915,7.97756e-05,0,3.32914e-05,2225.71,0,5602.85,62.1973,582.446,1680.86,18.6592,873.669,7364.56,3600.3,0,29.4242,405.152,2940.94
