#yyyy, mm, dd, TOTECOSYSC, TOTECOSYSN, TOTSOMC, TOTSOMN, TOTVEGC, TOTVEGN, TLAI, GPP, CPOOL, NPP, TWS, TOTFIRE, DEADSTEMC, LIVESTEMC, LEAFC, DEADCROOTC, LIVECROOTC, FROOTC, WOODC, TOT_WOODPRODC, WOOD_HARVESTC, HTOP, TOTLITC, CWD_C
2006,1,1,20420.4,706.811,7094.89,649.01,10059.6,46.5581,4.16274,8.12714e-05,0,4.68293e-05,1889.32,0,6426.52,62.1561,393.039,2039.8,19.7193,692.003,8548.2,4985.04,0,24.9119,317.081,2948.9
2007,1,1,20934.2,708.141,7080.99,647.83,10744.2,48.9621,4.31563,8.56068e-05,0,4.90302e-05,1968.92,0,6914.11,64.1386,404.357,2194.44,20.3464,711.81,9193.04,4728.99,0,25.5268,344.373,2764.59
2008,1,1,21502.2,710.985,7088.84,648.898,11405.9,50.5691,4.43162,8.6095e-05,0,4.73151e-05,1783.22,0,7401.35,65.4917,412.865,2348.99,20.7752,726.747,9836.61,4507.97,0,26.1131,371.431,2636.07
2009,1,1,22016.5,714.759,7124.36,652.425,11942.8,50.693,4.37372,8.1019e-05,0,4.09576e-05,1465.52,0,7852.3,64.5152,408.666,2492.61,20.4727,719.779,10429.9,4315.24,0,26.6334,398.981,2550.35
2010,1,1,22446.6,718.405,7170.09,656.677,12394.8,50.2569,4.10479,8.03063e-05,0,4.54039e-05,1404.74,0,8234.04,60.8816,388.705,2614.31,19.3223,684.815,10928.6,4145.43,0,27.0582,381.14,2500.57
2011,1,1,17370.1,708.402,7247.9,664.378,5586.84,22.542,1.60291,5.25625e-05,0,3.05205e-05,1772.45,0,3660.9,27.8221,174.725,1162.27,8.82748,307.687,4859.82,8504.95,0.000155787,27.5756,716.358,3819.04
2012,1,1,17311.4,705.573,7259.85,664.248,6330.48,28.8684,2.19539,6.49019e-05,0,4.25142e-05,1791.45,0,4013.53,37.9574,230.583,1274.25,12.0433,406.04,5337.78,7672.13,0,28.4325,290.155,3430.9
2013,1,1,17793.3,704.957,7193.67,657.616,7247.73,36.4735,3.00621,7.80978e-05,0,4.87821e-05,1834.68,0,4491.97,50.101,301.402,1426.12,15.8951,530.676,5984.09,6988.39,0,29.5193,263.065,3088.87
2014,1,1,18307.1,705.429,7147.62,653.568,8076.58,41.0466,3.63584,8.11118e-05,0,4.73469e-05,1712.94,0,5011.12,58.0976,352.638,1590.78,18.4302,620.766,6678.43,6423.9,0,30.6165,290.722,2792.14
2015,1,1,18763.8,705.361,7116.34,650.75,8825.93,44.3327,3.98877,8.12152e-05,0,4.7481e-05,1699.23,0,5519.48,61.7872,379.926,1752.02,19.5997,668.741,7352.88,5954.88,0,31.6193,290.7,2530.86
2016,1,1,19248.3,705.429,7087.9,648.126,9545.29,47.2356,4.2075,8.40544e-05,0,4.83539e-05,1890.25,0,6022.81,63.8234,396.345,1911.65,20.2452,697.606,8018.53,5562.35,0,32.553,295.156,2320
2017,1,1,19799,705.742,7056.17,645.323,10280.3,50.1316,4.41861,8.6388e-05,0,4.97274e-05,2076.96,0,6537.38,65.9853,411.898,2074.85,20.9307,724.962,8699.14,5231.22,0,33.4552,311.748,2150.73
2018,1,1,20440.8,707.51,7039.66,644.182,11013.8,52.6382,4.59589,8.96444e-05,0,5.08817e-05,2118.27,0,7055.63,67.802,424.71,2239.21,21.5069,747.502,9384.15,4949.42,0,34.3171,351.828,2035.46
2019,1,1,21065.2,710.378,7042.27,644.763,11676.9,54.2393,4.66849,8.77752e-05,0,4.87224e-05,2152.6,0,7560.75,68.311,429.915,2399.41,21.6683,756.657,10050.1,4707.34,0,35.1177,382.586,1963.43
