#i, obs_GPP3d_cycle, obs_ER3d_cycle, obs_LE3d_cycle, obs_H3d_cycle, clm_GPP3d_cycle, clm_ER3d_cycle, clm_LE3d_cycle, clm_H3d_cyle, clm_FCTR3d_cycle, clm_FCEV3d_cycle, clm_FGEV3d_cycle, clm_Qstor3d_cycle, clm_Rnet3d_cycle
1, 3.30846, 2.78154, 29.0469, 8.87724, 3.21765, 4.36261, 15.7584, 6.37352, 9.88754, 3.77123, 2.09962, 2.68563, 24.9219
2, 3.38861, 2.6953, 26.5526, -6.32715, 2.69239, 4.27309, 13.8858, 7.97453, 6.84858, 3.31443, 3.72282, 3.0566, 24.406
3, 3.51826, 2.51479, 27.7522, 20.6491, 2.68562, 4.17817, 20.8114, 18.6403, 6.97629, 7.19798, 6.6371, -13.7138, 25.1452
4, 3.52342, 2.67082, 29.6263, 10.5048, 3.01837, 4.19311, 18.4346, 19.231, 8.92684, 3.50435, 6.00338, -10.8858, 27.6463
5, 3.36534, 2.80452, 28.9812, 9.91767, 3.25358, 4.30037, 18.454, 14.2994, 10.1341, 2.98681, 5.33305, -6.65925, 26.5292
6, 3.52729, 2.64393, 27.2242, 18.3413, 3.19627, 4.41775, 19.5527, 5.99197, 9.288, 6.99143, 3.27324, 0.341917, 26.0397
7, 3.43975, 2.46354, 29.312, 6.53618, 3.15159, 4.21751, 22.1664, 20.528, 10.0461, 6.37193, 5.74837, -13.4016, 28.2056
8, 2.88933, 2.51841, 28.1666, -1.10303, 2.98657, 4.17571, 21.5674, 18.8029, 9.39601, 7.13575, 5.03566, -9.46489, 30.7865
9, 3.68363, 2.34908, 31.2889, 13.9949, 3.11447, 4.06126, 24.0269, 23.786, 10.2324, 5.17375, 8.62083, -17.3846, 30.7309
10, 3.63968, 2.52791, 32.8784, 11.1738, 3.43865, 4.12639, 24.3298, 18.7389, 11.0822, 6.83782, 6.40977, -7.7582, 35.7004
11, 3.74053, 2.86514, 24.2243, -5.65439, 3.30277, 4.32254, 13.9533, 8.04634, 7.88364, 2.73181, 3.3378, -0.157145, 22.7949
12, 3.51314, 2.72045, 35.0407, 13.5343, 3.82146, 4.4566, 18.2308, 16.6661, 11.4322, 4.44258, 2.35601, 8.25819, 43.3925
13, 3.36178, 2.72033, 29.3076, 9.99643, 3.56292, 4.3712, 18.2792, 14.1163, 10.3797, 3.03082, 4.86864, -2.79843, 29.4389
14, 3.81158, 2.55458, 30.0674, 13.3837, 3.01748, 4.30432, 21.4896, 17.6323, 9.0069, 6.87802, 5.60471, -7.88728, 29.9447
15, 3.69867, 2.53261, 31.8114, 12.5206, 3.21667, 4.00454, 23.5852, 23.3981, 9.41628, 7.20444, 6.96453, -13.2976, 33.0776
16, 2.88429, 2.40812, 22.9303, 21.1791, 2.79349, 3.92412, 16.1808, 18.1418, 7.30923, 3.93967, 4.93196, -6.87341, 26.8948
17, 3.01923, 2.36035, 23.5961, 17.7806, 2.90862, 3.92303, 16.076, 18.1754, 7.19779, 6.22554, 2.65265, -0.80567, 33.8466
18, 3.16305, 2.15732, 31.2055, 11.428, 2.735, 3.99486, 21.0927, 15.5553, 6.31729, 12.0702, 2.70518, -0.142785, 35.6879
19, 3.75889, 2.05317, 31.1881, 20.8952, 3.34433, 3.86771, 21.4722, 24.8218, 10.5046, 5.48017, 5.48749, -12.0694, 34.6751
20, 3.41299, 1.86486, 34.4288, 28.8688, 3.57949, 3.92145, 22.826, 20.427, 12.5699, 5.13304, 5.12301, -6.70343, 36.5456
21, 3.31886, 1.82363, 26.9995, 20.2907, 3.32381, 3.92384, 18.8246, 23.0886, 9.69703, 5.37304, 3.75451, -5.43055, 36.6081
22, 3.09179, 1.89333, 24.6952, 14.2001, 2.5848, 3.78941, 19.3416, 20.1871, 5.44395, 7.75074, 6.14689, -14.9988, 24.1745
