#i, obs_GPP3d_cycle, obs_ER3d_cycle, obs_LE3d_cycle, obs_H3d_cycle, clm_GPP3d_cycle, clm_ER3d_cycle, clm_LE3d_cycle, clm_H3d_cyle, clm_FCTR3d_cycle, clm_FCEV3d_cycle, clm_FGEV3d_cycle, clm_Qstor3d_cycle, clm_Rnet3d_cycle
1, 3.30846, 2.78154, 29.0469, 8.87724, 2.82429, 2.81867, 27.6934, -1.66529, 14.4761, 10.298, 2.9193, -3.12759, 23.3017
2, 3.38861, 2.6953, 26.5526, -6.32715, 2.22693, 2.62767, 22.7934, 3.01153, 11.0664, 9.90644, 1.82059, -3.1647, 21.6242
3, 3.51826, 2.51479, 27.7522, 20.6491, 2.12094, 2.51097, 26.4658, 10.3778, 11.3001, 11.6422, 3.52346, -11.1752, 25.0033
4, 3.52342, 2.67082, 29.6263, 10.5048, 2.54069, 2.62285, 27.1338, 9.26002, 14.3282, 8.43, 4.37566, -10.5005, 26.9772
5, 3.36534, 2.80452, 28.9812, 9.91767, 2.74894, 2.68315, 28.5025, 4.4355, 14.9206, 8.41918, 5.16266, -7.66906, 25.8414
6, 3.52729, 2.64393, 27.2242, 18.3413, 2.81452, 2.78136, 27.8091, 1.06641, 15.2442, 8.35429, 4.21066, -3.1354, 25.8419
7, 3.43975, 2.46354, 29.312, 6.53618, 2.62927, 2.56831, 29.5443, 10.026, 15.3056, 9.17382, 5.06493, -9.80119, 28.5141
8, 2.88933, 2.51841, 28.1666, -1.10303, 2.50169, 2.54777, 29.4887, 11.1634, 14.7809, 9.77758, 4.93024, -10.1494, 30.3679
9, 3.68363, 2.34908, 31.2889, 13.9949, 2.54542, 2.39919, 28.9042, 13.3171, 14.6099, 9.92088, 4.37348, -11.5097, 30.76
10, 3.63968, 2.52791, 32.8784, 11.1738, 2.88523, 2.48622, 28.7328, 10.8565, 16.7457, 8.46723, 3.5198, -4.6751, 35.5475
11, 3.74053, 2.86514, 24.2243, -5.65439, 2.90279, 2.67765, 19.8367, -2.14614, 11.8531, 6.96135, 1.02225, 5.07051, 23.779
12, 3.51314, 2.72045, 35.0407, 13.5343, 3.41274, 2.88855, 25.9705, 6.51028, 17.4133, 8.67504, -0.117793, 10.6092, 43.6367
13, 3.36178, 2.72033, 29.3076, 9.99643, 3.27878, 2.91309, 24.3052, 4.75337, 16.5137, 5.07539, 2.71616, -0.214555, 28.6855
14, 3.81158, 2.55458, 30.0674, 13.3837, 2.57108, 2.82752, 28.5817, 8.86863, 14.9483, 8.59358, 5.03979, -6.89788, 28.914
15, 3.69867, 2.53261, 31.8114, 12.5206, 2.41452, 2.40191, 29.491, 10.4964, 13.8312, 10.5684, 5.09146, -6.24136, 32.9107
16, 2.88429, 2.40812, 22.9303, 21.1791, 2.12701, 2.21996, 22.8695, 10.8736, 11.147, 7.10849, 4.61394, -6.44036, 26.657
17, 3.01923, 2.36035, 23.5961, 17.7806, 2.31713, 2.23357, 23.3482, 11.6047, 11.3303, 9.70154, 2.31637, -2.33448, 33.0986
18, 3.16305, 2.15732, 31.2055, 11.428, 2.00393, 2.31156, 28.7012, 10.8034, 10.0373, 16.0108, 2.65314, -4.70301, 33.9195
19, 3.75889, 2.05317, 31.1881, 20.8952, 2.47331, 2.19322, 32.9724, 12.7233, 13.5359, 13.7725, 5.66396, -12.9539, 33.4073
20, 3.41299, 1.86486, 34.4288, 28.8688, 2.76287, 2.2626, 32.1327, 11.1333, 17.4861, 9.84563, 4.80101, -6.77841, 36.2638
21, 3.31886, 1.82363, 26.9995, 20.2907, 2.56632, 2.25389, 25.1448, 17.5874, 14.4368, 6.70511, 4.00291, -7.41701, 35.486
22, 3.09179, 1.89333, 24.6952, 14.2001, 1.75615, 2.03604, 16.9749, 15.1294, 8.46533, 6.54657, 1.96301, -7.57391, 23.5808
23, 3.43627, 1.73988, 29.4399, 30.5404, 2.17111, 2.1157, 25.0501, 19.9067, 11.2199, 10.9207, 2.90955, -5.8949, 39.7844
24, 2.8085, 1.69611, 28.2511, 21.9135, 2.31764, 2.24593, 32.6846, 18.1078, 12.7895, 15.0111, 4.88396, -8.42032, 42.2136
25, 2.84259, 1.48902, 24.7518, 32.7359, 2.27597, 2.07881, 32.0565, 6.43104, 15.397, 11.3036, 5.35585, -10.9599, 26.9034
26, 2.59352, 1.50096, 23.3997, 11.6164, 2.55816, 2.08057, 17.4285, 6.46012, 13.3237, 2.95633, 1.14845, 4.55798, 29.6238
27, 2.86083, 1.53862, 31.6449, 26.4365, 2.49476, 2.17113, 26.0618, 18.4509, 16.0204, 5.05169, 4.9898, 0.494148, 44.7374
28, 2.86039, 1.64771, 27.2078, 30.6577, 2.54143, 2.183, 28.1948, 18.1623, 17.08, 5.48566, 5.62914, -7.81758, 39.1917
29, 2.62166, 1.46442, 31.5427, 25.1926, 2.70828, 2.19364, 32.257, 21.3664, 17.5135, 9.06343, 5.68003, -7.60568, 45.5578
30, 2.92421, 1.54845, 29.6436, 20.8708, 2.98735, 2.40902, 32.4683, 10.4044, 18.3053, 8.98492, 5.17807, -3.44519, 40.0353
31, 3.01941, 1.39388, 31.6411, 35.4204, 2.91789, 2.28334, 40.1876, 18.28, 20.9491, 13.396, 5.84246, -4.75623, 52.9378
32, 3.23229, 1.73689, 29.5083, 25.5806, 3.6038, 2.47441, 31.0216, 5.40688, 22.7622, 4.60391, 3.65552, 4.81333, 43.1611
33, 2.80923, 1.98154, 32.332, 14.6128, 3.82041, 2.73983, 30.9073, 6.98276, 20.2829, 8.17644, 2.44791, 6.1921, 44.5465
34, 3.23282, 1.84249, 30.8551, 25.121, 3.07258, 2.59908, 34.2363, 10.665, 16.5373, 14.4841, 3.21489, 1.23772, 45.1377
35, 3.26582, 1.86108, 29.3481, 35.0477, 2.6123, 2.46117, 32.7238, 12.1725, 14.3976, 14.3533, 3.9729, -4.28328, 40.3721
36, 2.51566, 1.7644, 31.4354, 27.356, 2.74115, 2.47626, 36.7515, 14.7495, 16.709, 14.7036, 5.33885, -8.10927, 42.9092
37, 2.96345, 1.76922, 35.3429, 33.8792, 3.15988, 2.56028, 39.0471, 22.4493, 23.8016, 7.88275, 7.3627, -12.9624, 48.7463
38, 3.50771, 1.79564, 31.1304, 41.3812, 3.51198, 2.69129, 37.9604, 14.4594, 24.5263, 8.54877, 4.88532, 0.523576, 53.769
39, 3.43132, 1.86888, 37.825, 28.1249, 3.8461, 2.80523, 37.4047, 19.4265, 25.6895, 6.48544, 5.22974, -0.393913, 57.4231
40, 3.3581, 1.8841, 32.4602, 29.309, 3.39019, 2.69906, 36.0385, 18.5101, 22.7074, 7.15749, 6.17356, -6.06164, 47.6578
41, 3.42706, 1.88498, 34.9317, 33.3015, 2.85142, 2.46731, 38.2257, 27.9132, 21.9185, 8.43347, 7.87377, -10.9818, 53.8161
42, 3.34589, 1.7875, 28.764, 42.4913, 2.68007, 2.41689, 29.6301, 19.8901, 18.4433, 4.5596, 6.62721, -6.4174, 43.1153
43, 3.06973, 2.02273, 33.1735, 23.389, 3.5457, 2.78293, 41.2867, 9.26064, 27.5203, 7.79278, 5.97365, -1.34789, 50.3923
44, 3.09185, 2.09606, 34.604, 25.1946, 3.18688, 2.67942, 41.0969, 22.641, 22.5889, 11.9835, 6.52453, -3.99089, 59.3592
45, 3.16432, 2.04115, 35.6058, 19.1625, 3.17025, 2.51785, 41.1563, 25.9038, 21.2698, 11.8269, 8.05959, -10.2845, 56.7083
46, 4.03158, 1.95526, 36.4475, 39.6493, 3.50012, 2.70557, 39.3467, 25.9775, 24.2121, 8.99564, 6.13901, -3.49852, 61.7387
47, 3.52495, 2.01367, 38.6342, 34.8178, 3.41178, 2.5603, 33.2615, 25.8169, 21.2184, 7.12767, 4.91548, -1.68407, 57.0157
48, 3.5051, 2.17888, 37.8766, 30.1596, 3.5875, 2.62679, 33.491, 31.2522, 22.4046, 5.7015, 5.38493, -2.97564, 62.3348
49, 3.46331, 2.21981, 37.2322, 19.9427, 3.79221, 2.77914, 38.1439, 24.4283, 25.1375, 6.63898, 6.36746, -0.212652, 63.1465
50, 4.4116, 2.29822, 38.5548, 46.9465, 3.74281, 2.84226, 47.2332, 24.5923, 26.4815, 13.4638, 7.28796, -4.54107, 66.4733
