#i, obs_G3d_cycle, obs_Rn3d_cycle
1, -4.3748, 26.2915
2, -3.06886, 25.1786
3, -5.5278, 25.9
4, -4.61644, 26.8275
5, -5.40102, 28.7289
6, -3.96085, 26.4843
7, -6.93227, 30.914
8, -6.55376, 27.3246
9, -6.24596, 35.999
10, -4.82368, 36.9859
11, -3.29193, 26.9431
12, -1.4755, 35.5893
13, -2.61533, 29.0273
14, -3.48754, 30.1023
15, -4.88885, 32.3866
16, -4.5378, 28.2569
17, -5.02667, 34.3439
18, -5.16262, 31.6186
19, -6.88612, 36.0167
20, -5.92888, 38.5525
21, -5.01534, 39.4317
22, -6.01799, 27.1102
23, -5.76428, 39.7237
24, -5.96551, 40.0261
25, -6.74124, 27.2126
26, -4.25076, 30.1609
27, -5.72797, 43.6201
28, -5.81875, 44.1063
29, -5.60767, 46.8294
30, -4.39336, 39.5633
31, -5.68338, 52.2235
32, -2.63159, 46.4028
33, -1.44649, 45.6276
34, -3.12034, 45.0678
35, -3.56294, 43.5357
36, -4.51374, 39.119
37, -6.0918, 54.7181
38, -3.34444, 52.0467
39, -2.67606, 57.4656
40, -3.81678, 51.8
41, -5.82931, 55.8898
42, -5.37529, 43.4421
43, -3.72153, 52.7729
44, -4.16943, 58.3553
45, -4.47156, 61.1166
46, -5.05683, 59.3464
47, -3.51384, 62.11
48, -3.80376, 65.3207
49, -3.08035, 64.133
50, -4.11081, 68.3661
51, -3.58655, 68.6426
52, -1.50873, 67.0973
53, -1.82613, 44.5386
54, -1.55492, 55.6617
55, -1.25749, 65.8366
56, -2.6164, 57.7651
57, -4.44667, 61.383
58, -3.42492, 86.5518
59, -1.7009, 75.6422
60, -1.19617, 82.5196
61, -1.68468, 87.9668
62, -4.44984, 71.5087
63, -4.48461, 84.3498
64, -3.80107, 78.7249
65, -3.37388, 80.3816
66, -2.35152, 94.1844
67, -0.336417, 91.6943
68, -0.10385, 98.7792
69, 0.4328, 93.1659
70, 0.119973, 105.279
71, 0.00775097, 80.3459
72, 0.213905, 105.22
73, 0.09986, 74.3266
74, -1.00718, 101.719
75, -0.676096, 72.3276
76, -1.49101, 93.4888
77, -1.2394, 95.7808
78, -0.964596, 93.6361
79, -0.919765, 108.633
80, -0.647079, 96.7246
81, -0.509075, 111.557
82, -0.113401, 99.9332
83, -1.45963, 101.964
84, -0.484453, 98.3282
85, -0.122447, 87.7968
86, -1.39573, 81.7248
87, 0.7623, 93.5607
88, -0.329704, 100.399
89, -1.58704, 101.44
90, 1.53444, 100.718
91, 2.66267, 109.629
92, 1.55699, 118.053
93, 0.457332, 126.025
94, 3.20699, 131.163
95, -0.203189, 115.63
96, -1.18017, 124.106
97, 0.193118, 105.672
98, 0.762032, 120.378
99, -0.795413, 123.964
100, 1.36972, 144.991
101, 3.12591, 139.083
102, 1.64049, 115.611
103, -0.138251, 142.882
104, 0.693559, 117.768
105, 1.10733, 115.407
106, 0.60228, 141.192
107, 0.376681, 148.31
108, 1.50428, 151.899
109, 2.18008, 111.648
110, 3.09994, 130.216
111, 1.26335, 136.445
112, 1.09792, 121.65
113, 1.61195, 128.874
114, 0.653604, 140.923
115, 1.51659, 142.169
116, 1.88814, 124.017
117, 2.868, 139.699
118, 2.09237, 130.461
119, 1.05905, 136.364
120, 1.4089, 142.897
121, 2.03894, 128.24
122, 3.18556, 165.841
123, 2.65428, 151.545
124, 1.29492, 130.814
125, 0.828977, 121.893
126, 0.570772, 131.698
127, 1.38952, 168.849
128, 1.8158, 134.804
129, 3.33842, 167.168
130, 3.23116, 164.776
131, 2.93092, 129.306
132, 2.23492, 141.114
133, 1.10049, 129.709
134, 1.7226, 170.978
135, 2.18427, 172.438
136, 2.6899, 162.285
137, 2.09824, 145.565
138, 1.3114, 129.628
139, 1.26484, 154.793
140, 1.863, 161.477
141, 2.48402, 166.726
142, 2.03642, 168.351
143, 2.08629, 149.375
144, 2.03641, 167.303
145, 2.19851, 179.095
146, 3.18597, 185.861
147, 3.68607, 190.161
148, 3.79381, 164.677
149, 3.76648, 161.613
150, 3.31795, 167.857
151, 3.61152, 179.549
152, 3.11349, 172.669
153, 2.7736, 169.056
154, 2.13435, 151.235
155, 3.17922, 177.814
156, 3.51478, 165.089
157, 2.55361, 155.718
158, 2.51244, 169.515
159, 2.96033, 177.671
160, 3.17404, 166.092
161, 3.52202, 188.252
162, 3.44306, 174.521
163, 4.29878, 171.417
164, 3.18208, 180.855
165, 2.18878, 172.255
166, 2.48866, 186.542
167, 2.94385, 172.864
168, 2.70694, 169.332
169, 3.11666, 182.206
170, 3.37326, 185.837
171, 2.52636, 166.703
172, 3.07823, 162.779
173, 4.06994, 176.557
174, 3.75487, 169.335
175, 3.5056, 174.515
176, 3.29407, 171.133
177, 2.87386, 172.236
178, 2.44311, 156.448
179, 3.06757, 177.511
180, 2.39315, 158.603
181, 2.82669, 171.055
182, 3.43232, 170.256
183, 3.34075, 180.877
184, 3.46124, 184.645
185, 3.40811, 182.175
186, 3.5115, 176.802
187, 3.34801, 172.59
188, 3.53919, 185.657
189, 3.6958, 181.741
190, 2.81799, 168.826
191, 2.4951, 158.078
192, 2.68704, 165.204
193, 3.3484, 160.746
194, 3.05306, 149.808
195, 2.91792, 171.973
196, 3.15637, 185.036
197, 2.81316, 153.987
198, 2.32194, 178.703
199, 3.11691, 180.122
200, 3.64507, 174.72
201, 3.37068, 165.482
202, 3.41482, 170.66
203, 2.72763, 158.022
204, 3.03, 158.014
205, 2.73074, 171.186
206, 2.09015, 170.077
207, 2.36207, 180.167
208, 3.1738, 164.829
209, 3.14833, 178.951
210, 2.31668, 162.484
211, 1.5045, 151.873
212, 0.935651, 144.748
213, 1.88863, 142.378
214, 2.23287, 164.162
215, 2.58778, 159.264
216, 2.80196, 159.588
217, 2.95853, 180.44
218, 2.35372, 153.488
219, 2.5809, 156.394
220, 2.16571, 142.366
221, 1.87033, 156.884
222, 2.27883, 157.275
